init_coverage,adam_coverage,bf_coverage,combined_coverage,systems_area,protection_area,Number_of_systems,Number_of_areas,average_system_size,average_area_size,precision,recall,Fscore,env_area
1.659118071,2.399474394,2.385586783,2.771152735,46.72902757,11.34326024,1,40,46.72902757,0.283581506,0.059302598,0.244299494,0.047719021,20
2.59467181,3.077680295,2.802967437,3.077680295,46.72902757,13.63635098,1,50,46.72902757,0.27272702,0.06586228,0.225696765,0.050984196,20
1.841305248,2.167500831,2.446170497,2.688751323,46.72902757,14.62769272,1,50,46.72902757,0.292553854,0.05753921,0.183812401,0.043821627,20
2.103932616,2.171324351,3.470002656,3.878338229,46.72902757,17.35274433,1,60,46.72902757,0.289212406,0.082996339,0.223499993,0.060521707,20
1.59597453,2.279002082,2.921702049,3.047719561,50.92284889,20.60608476,1,70,50.92284889,0.294372639,0.059849746,0.147903864,0.042608206,20
1.548199884,3.403187815,3.000463357,3.403186808,50.92284889,20.15207751,1,70,50.92284889,0.287886822,0.066830252,0.168875234,0.047881679,20
1.456381229,1.859731382,3.6221145,4.424621712,50.92284889,22.16678513,1,80,50.92284889,0.277084814,0.086888731,0.199605928,0.060536925,20
3.264359138,3.608309952,3.538858242,3.608309952,50.92284889,23.15986738,1,80,50.92284889,0.289498342,0.070858368,0.155800113,0.048706502,20
2.407822026,3.150997139,3.532333748,4.554752292,50.92284889,25.22409933,1,90,50.92284889,0.28026777,0.089444177,0.180571454,0.059815297,20
2.670647021,3.112284406,4.543045889,4.609444161,50.92284889,26.63201698,1,90,50.92284889,0.2959113,0.090518191,0.173079049,0.059434622,20
3.661271023,4.75409028,4.690157631,4.752422988,50.92284889,28.35579188,1,100,50.92284889,0.283557919,0.093325945,0.167599727,0.059945818,20
3.801094579,5.871669257,5.708064413,5.871670351,50.92284889,28.79750346,1,100,50.92284889,0.287975035,0.115305221,0.203895118,0.073653342,20
0.233872106,0.233872106,0.925881672,0.959992441,114.3645251,3.106020289,2,10,57.18226255,0.310602029,0.008394145,0.309074749,0.008172197,20
0.490158858,0.52494467,1.91486804,1.91486804,114.3645251,2.710029441,2,10,57.18226255,0.271002944,0.016743549,0.706585696,0.016355971,20
1.396804817,2.688519817,2.945641868,3.049810804,114.3645251,5.929502875,2,20,57.18226255,0.296475144,0.026667455,0.514345109,0.025352969,20
